nc_nt,tnp,tnp_l
1000,5.0,7.894736842105263
2000,2.5,7.142857142857143
3000,1.3215859030837005,6.818181818181818
4000,0.8064516129032258,6.122448979591836
5000,0.5319148936170213,5.357142857142857
6000,0.3722084367245657,5.172413793103448
7000,0.28063610851262866,4.545454545454545
8000,0.2033898305084746,4.109589041095891
9000,0.16997167138810199,4.285714285714286
10000,0.13711151736745888,3.7974683544303796
